what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1289964235129
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1289964235140
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1289964235149
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1289964235164
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1289964235180
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1289964235201
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1289964235215
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1289964235232
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1289964235244
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1289964235252
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1289964235269
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1289964235290
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1289964235305
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1289964235305
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1289964235317
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1289964235338
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1289964235351
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1289964235370
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1289964235382
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1289964235402
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1289964235417
os,sysinfo,,,"win32",1289964235421
arch,sysinfo,,,"x86_64",1289964235421
ws,sysinfo,,,"win32",1289964235421
locale,sysinfo,,,"en_US",1289964235421
processors,sysinfo,,,"2",1289964235421
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1289964235421
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1289964235421
java.specification.name,sysinfo,,,"Java Platform API Specification",1289964235421
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289964235421
java.specification.version,sysinfo,,,"1.6",1289964235421
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289964235421
java.version,sysinfo,,,"1.6.0_21",1289964235421
java.vm.info,sysinfo,,,"mixed mode",1289964235421
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1289964235421
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289964235421
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289964235421
java.vm.specification.version,sysinfo,,,"1.0",1289964235421
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289964235421
java.vm.version,sysinfo,,,"17.0-b17",1289964235421
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289964236116
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289964236148
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1289964236196
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289964239979
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289964245206
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289964246153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289964247632
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1289964248272
